title   text
stargazer#blue  Where is your star?Is it far is it far is it far?When do we leave?Hey I believe I believe...Where was your star?Was it far was it farWhen did we leave?We believed we believed we believed...Ooh now where do we go? I feel terribly bad inside of me at the moment. Mixed feelings of anger sadness melancholy grief and nostalgia are watercolours diluting deeply in my heart...Breaking up is equal to a small death. Each loss is curable but unbearable during these first days of separation. I miss her but simultaneously i know very well that it's much much better without her. Besides there was no hope and no future for us. She was too attached to her own personal pleasure and nonsense in her shallow life.All signs were obvious that this fairytale would turn to a walking nightmare...Every night that I am alone at home I am sinking into these feelings...Eventually it will also fade away. Like clouds diluting to clear skies. Until then where do we go....................
rakkaus-on-lumivalkoinen...#blue        I had some friends visiting me at home for 3 consecutive days. It was a small relief regarding my sadness during these tough days of mine...Everyone left some hours ago. I still feel really bad. I feel like poisoned betrayed regarding my initial decision to avoid any further interaction and complications with her...Tomorrow it's training day. I need to gather all my forces and patch myself up to handle these consecutive 4 days to come. It's going to be really tough this time. It's the 4th time in a row that such situation is occurring again. Breaking up and consecutive training in just few days without almost no recovery at all...Let's see what destiny shall reveal for me...Love is white like snow. And burning me up that way too...
surun-aihe#blue All differences and a final absence... both feelings are so intense I think I am losing my mind at times...I was discussing my personal story with a colleague and my cousin both of them agreed that disrespect plus the fact that I cannot accept that she was with me just to enjoy her life without thinking seriously about her relationship was the key point to this disaster...Sad to admit that both of them are right. She was completely inappropriate and incompatible to my own mentality and target in life regarding a relationship that would eventually lead to something serious instead of just having a good time. The greatest proof was that she was not eager to follow me wherever I go or whatever I do...A black aurora is hovering above my head. 20 lost months from my life. Again so many promises and letters from her side that were just words of the moment...Separation is the final outcome. All is lost. I have to move on...So hard to accomplish so hard to believe it was all for nothing...
sydämeni-kuin-hauta...#blue     It was a busy day... mixed and a bit complicated too...Sad things first I was walking on the street listening to melodic death metal I tried to avoid all uphill ways and eventually I passed few meters away from the fucking shop that she is working... My heart was really heavy and I tried to pass away by not looking behind as fast as possible. Few days ago I was walking these streets heading home and waiting for her to eat together and sleep hugged to each other...This belongs to the past forever. Today I also gave away some of her last things that she left behind. Last items remaining are a pair of earrings her heart-shaped pyjamas a pair of 4GB USB Drives with her Uni essays/exams/notes etc. and a piece of Delsey Cabin Luggage that she bought to me as a gift for my flights...I really want to set everything on fire. I am holding myself not to burn them up in the middle of the night... I know that very soon she is finishing her job probably she might see it happening... But I won't offer her that pleasure...I will remain in the dark. It's almost spring outdoors but my heart is frozen like a stone... Similar to a grave that our dead love will never rise again... My pale morning star lost forever...Everything's black. Like a black hole consuming me...I am trying so hard to withstand these black feelings but hopefully I am facing the storm by staring into it's eyes steadily and forcefully...Wasn't worth it after all...Fuck damn shit...
ikuinen-talvi#blue      Despite the fact that's the first day of spring in my heart there's still the feeling of a deep and eternal winter... I broke up I am alone and I am probably going to be alone for a long time...In my heart there's a blizzardstorm and a snowstorm that's cutting me deeply to the bone...
tunnoton%2flopussa#blue A bit more than a month away from you. The whole sensation is completely numb inside my heart anymore...At times it hurts. At times I am thinking all our wonderful moments yet shall never come.Definitely it's a trap. It's a trick of the mind that's always letting aside the sad moments and keeping the good ones...Also quarantined. I don't even care anymore about it. Everything's so fucked up I am tired of thinking anymore.Probably I lost my job. I am stranded in a really fucking place a really fucking city a really fucking country...This is the boulevard of broken dreams. Full of shattered glass full of poison darkness and solitude.Listening to trap music now. In the end... It doesn't matter...
kiinnitetty#blue        "What was the meaning of our story indeed? What was the purpose of this journey? How nonsense things made it up in a way that whole thing was literally pinned down twice? Why am I fighting this anymore since it ended and obviously the final words of abandonment came out from her mouth... twice?I am seeing really weird dreams involving her. Dark nights crescent moon Southern direction winds blowing high altitude clouds and African dust covering the horizon which is really hard to see and her face into my thoughts... I woke up in a melancholic scent how everything got so f... up. Did really everything had to do with her ""personal freedom"" or was it something deeper?Women's hearts sometimes are the hardest of all mysteries into this world. Even Einstein who was one of the greatest scientists couldn't find a solution to this riddle. But the greatest mystery right now is why am I still loving her? Why am I still hoping regarding some extra time into a match that has already ended more than a month ago? Why am I even thinking of making an attempt again in a relationship that failed twice the hardest way?Maybe I should think even more about the mystery that's colliding upon myself. Probably this is even worse than Einstein's riddle...My head is still looking down. Looks like following days will be even tougher though..."
jossakin-jonne-kuulun#blue      Pitch dark. Music from the past is echoing in my ears. My eyes are completely closed. Trying to disconnect. Thousands of memories are passing by through my eyes rolling like a never-ending movie. Past situations moments of loneliness promising loves that now do not exist. Echoes of the past laying in the dark...Trying to put all pieces of myself in order to reassemble. This previous blast was catalytic to my brains and existence up to today. It hurts so much similar to an explosion from a defensive-type grenade thrown out of her hands. I feel guilty why I allowed this degradation upon myself...Suddenly music changes to Linkin Park. So assertive to exist. A new remix blending the power of destruction and the hyper-efforts I am now performing to surpass these obstacles at the moment. Both hopeful and hopeless feelings are balancing into this thin rope which is on fire...One more night is heading to it's end. A new day is coming.Somewhere I belong...
negatiivinen#blue       My head is fluctuating like a pendulum. Don't know how to keep myself in cold blood and take it easy. I think this is too much for me anymore.I've been in far worse situations comparing to this. Yet my resistance and resilience has reached to a rock bottom.Silence. Dread. Imprisonment. Defiance. Solitude. Darkness.Can't handle it anymore.I really hope that I am not getting crazy. I really hope that these are just games of my mind to keep me up into this chaos.I hope I am not the eliminated one after all...
kaleidoscope#blue       Every night I am seeing horrible nightmares in my sleep. My sleeping pattern has been a pure havoc these days. Hundreds of memories and moments that will never exist again. I have all curtains closed. Every time that I am going out to buy some food or do something important I am wearing a face pretending that I am smiling but inside of me I am screaming so loudly that all glasses are shattering in my brain...Waiting patiently for the day that I shall leave from here and never come back. Only in moments of transitioning anymore...I am closing my eyes trying to gather some energy from this echo of silence. I still can't get over it...
karjala#blue    "Listening to pure melodic death metal nonstop. Many old ""friends"" published some really nice and soothing music that hits rock bottom.Definitely I won this battle. But at what cost?Better days are coming at last. Some sunlight enlightening my darkest hours in here. It seems that in a few days my time shall come to get the hell out of here towards my homeplace...This distance still hurts but I think that the peak of this pain is fading away. Fading to black anyway since it's lost forever.I went for some training after 44 consecutive days locked up in my f... apartment. My physical strength and stamina are at least 75% less than it used to be. Gathering my shattered glasses upon this place. Still in pain still in vain but hope is the last to die in here.I am slowly getting used to my loneliness and the fact that this is over once for good. That shall be tidied to the library of the past and eventually stay there.Everything has it's price. Everything has a value and eventually a trade for..."
painajainen-on-palannut...#blue After some days of absence I came back.Days are generally quiet finalizing my own obligations so that I can leave as soon as possible to my homeplace till I am called back up to the skies...Your absence still hurts. Although I am getting used to the fact that it's over now forever...My brother came to visit me for a few days. While I was enjoying my Mojito he informed me of... the nightmare...She called him after almost a year or so she asked him how's he doin' - then sent her greetings to me and hung up the phone.[email protected]?! W0t?! I was literally stunned for at least 5 minutes to realize what the hell happened.Her boytoy inherited 200k euros. She was eating s...t for more than 15 years to achieve this objective. She finally moved with him literally in the middle of nowhere living the life(?) of her dreams(?). She threw me with her best karate chop on the ground 3 times. Ignored everything and...Now what the hell does she want? Why is she involving my brother into this?Of course she doesn't have my cell number. Nor did I allow my brother to pass it to her. Why is she stirring again the threadmill?Appeared again like a ghost almost after 2 years to tell me... what?How is her f... life? How's treating her boytoy? That she is again f... disappointed with his recklessness and laziness? Cry again on my f... shoulders? And then disappear? Again?!
viimeinen-yö#blue       Last night in the cage. Few hours remaining for my flight to my homeplace. I'll flip a coin whether I shall take her last things back to the fucking store that she is working or not. Deep inside of me a voice is telling me not to do it at all it's not worth it. Besides... She was the one who left... After going away from the cashier... The end.A new page is turning... Or not? Tomorrow's destiny shall choose...
yhden-sivun#blue        Today I decided to flip a coin regarding my destiny. Heads go to her f... shop and throw everything on her table in a bag and get the f... out. Tails do absolutely nothing - throw everything into the recycle bin and let go forever. Tails.Packed my luggage locked my flat and left. Met my brother and his fiancee. We flew altogether to my homeplace. Everything was so sad at the airport; very few people everybody wearing masks. Feels like apocalypse is about to come.First day here after more than 5 months. It feels weird. Now next plan to be executed; Take a picture at the exact spot where she was crying over my shoulders about her boy-toy and email her with a timestamp on. A friend of mine approved this move as a checkmate.Soon... Very soon....
haalistu-mustaksi#blue  At last the pain regarding my ex is finally fading away. To be precise fading to black...Today it's a big day. One picture. One mail. A hidden message. It symbolises the return of the king where he belongs to and the place where everything started with her. The place where she was crying on my shoulders. The person who's been in love with her for so many years...Fingers crossed...
varjot#blue     "Back again at my homeplace. Life is now boring waiting for the day that I will be back to the skies...Mail sent. As I expected absolute silence. What a surprise ^^ Yesterday I was reading an article about ""zombieing"" ""Ghosting"" and ""Submarining"". All these crappy behaviours coming directly from the social media. ""Submarining says a lot about that person’s lack of character and lack of respect for you."" - This is at least what most psychologists say about one more phenomenon coming from addiction or bullshitting in social media.Definitely I had some clue about it but nowadays it's becoming worse and worse with the influence of these crappy shit. For sure it's also a problematic attitude and self-esteem. Even my brother who's a friend of her for more than 15 years is angry with this behaviour as a friend.I also met by accident my ex working as a cleaner after 9 years. She changed her hair to blonde and also applied some disgusting tattoos that do denote a person who's a drug addict or a fake ""gangster""- a monochrome piece of panther crap under her palms. One more reason that I do feel grateful that I am not with her anymore. Thanks god.Some thoughts are hovering about my ex fortunately very few ones that are popping up into my brain at random moments. I feel almost sure that she will also reveal her worst self of her after we broke up and of course dig into her addictions. I just hope that I will never ever meet her too again.Hopefully soon I'll be back to the skies. Let's see what the future shall prevail for me... Until then just waiting here and wonder around like a shadow at times... "
taivas-ja-helvetti...#blue      Few hours remaining for my return to the skies. At last.I had a really crazy phonecall from a colleague who disappeared completely during the quarantine period. She asked me to come to her homeplace (!) arranged on Thursday. That was really unexpected though. Well... Final strike is about to come.Now I am listening to Black Sabbath-Heaven and Hell. A piece of legacy is at hands...I can't even believe what's happening. I also didn't expect her appearance back to the scene plus with a formal invitation included...I feel really strange. Yet it's almost about to come. See you in the next turn folks...
kylmissä-pohjoismaissa#blue     Very unstable flying days are passing by at the time. Everything is in a completely liquidised state everything can change from hour to hour from day to day and so on.I don't know what to feel anymore. The loss of my ex? The loss of my crush? The meet of my previous ex at my homeplace?I am sitting at the pool and thinking about them. How the fuck did my life become so wrecked regarding my relationships?Some of my colleagues are wondering how the fuck do I get such shitty girlfriends in my life? There is a Greek theory of the magnetic fields that you are attracted by stupid girlfriends (the malakomagnitis aka malako; stupid gf and magnitis; magnet in Greek) anyways I don't believe in such theories. It's just the majority of people do have shit in their heads (including myself - I do accept my mortality...)There are two interesting girls one from the cleaning team who has my phone number in her hands and one more here at the hotel who has also impulsed and stimulated my kinky brain...
heräsin-pimeästä-unesta#blue    Today I was lying under the sun thinking about all these bullshit that happened until today. I do understand and sense from a colleague's experience that some people are not meant to be in our lives despite our desperate efforts to keep them in our destiny and destination. One good reason could be their inability and lack of common sense to realize their priorities in their lives also their horrible belief that they can continue being in a YOLO state indefinitely until they eventually die before their time due to their negligence and loss in an eternal virtual Euphoria...These last 5 days my radars have acknowledged a new girl who's managing the pool and the spa here... She is short but oh my god I am watching her and all my inner instincts want to tear apart her clothes like a barbarian and eat her alive till she finally faints in my hands... Then repeat again and again and again...Awaken from the dark slumber I suppose...
tupakoin#blue   For the very first time in my life I felt an uncontrollable urge to smoke... I bought the same pack of cigarettes that my ex was smoking Davidoff slim black. It's the very first time in my life that I bought a full pack of cigarettes... Feels completely shit... I am now in the smoking hall of this hotel there are also few people around that I wish they were not here...It's so miserable... I was the one that was saying to my ex to quit smoking and now I am the one who's doing that.It feels really terrible I also have a sense that I want to vomit...Tomorrow probably it's my last flight here at the base. Then the future is uncertain again. No idea what shall come next...
nolla#blue      Last cigarette inside my packet. I am totally alone in the smoking room here at the lobby. She didn't call nor sent any message. My cousin explained a theory to me why women end up in terrible relationships. Well...Good guys eventually are sentenced in a way. She wished that my next one will fit like a glove...Tomorrow it's the last night at the base. Then who knows?I was watching a video about missing someone. It means that I still love.Fuck... I'll take a walk around and smoke the last one...
...plussa-kaks#blue     Two horrible dreams involving plane accidents popped up into my brains in a row. In one of them I am also saving everyone removing them from the wreckage which is set on fire...This is the last day and night at the base. I wanted to write down the outcome of the most important case with... the nightmarish girl...When I was down to my homeplace my brother met both of them at a cafe. She asked my brother why didn't he call me to come and join them.Such f... audacity from her side. I was so angry when I heard that. A friend of mine who's supporting me regarding this case told me to re-think about it since this was a smoke screen to her boyfriend and to my brother (she probably believes that he has no idea - HAHAHA he is my brother OF COURSE HE KNOWS EVERYTHING) to hide her dirt under the mattress.My brother also told me that her jerk spent all 200k in less than a year and now he is broke as f... - she is now working for 12 hours per day and paying everything including his coffee so that she won't lose this jackal (jackass) from her life. What a splendid move. Chuck Norris approves.One of my colleagues whom I recently discussed about this case told me that she is too wimp to approach the reality of her feelings and step up into something new instead she is choosing not to get away from this swamp that she's drowning in... She also told me that her behaviour was so selfish trying to fill up her f... self esteem. She claimed that not even worms are behaving in such manner and matter...Anyway when the time comes and realizes what the hell she has been doing it will be far from late for her life and destiny.Whatever...Listening to Rainbow right now. Might be one of the upcoming signs for the future to come...
